vehicle,occupancy,weekday,from,time
IC506,2,1,http://irail.be/stations/NMBS/008892007,0724

IC515,2,1,http://irail.be/stations/NMBS/008812005,1707

IC429,2,1,http://irail.be/stations/NMBS/008833001,0803

IC538,1,1,http://irail.be/stations/NMBS/008814001,1706

IC907,2,1,http://irail.be/stations/NMBS/008885704,0718
IC907,2,1,http://irail.be/stations/NMBS/008885753,0724
IC907,2,1,http://irail.be/stations/NMBS/008885068,0732

IC1731,2,1,http://irail.be/stations/NMBS/008833001,0952

IC2229,1,1,http://irail.be/stations/NMBS/008833209,0741

IC3237,1,1,http://irail.be/stations/NMBS/008814001,1545

IC3328,2,1,http://irail.be/stations/NMBS/008822004,0804
IC3328,2,1,http://irail.be/stations/NMBS/008811189,0813

IC4516,1,1,http://irail.be/stations/NMBS/008812005,1730

S103857,1.0,1,http://irail.be/stations/NMBS/008812070,0731
S103857,1.0,1,http://irail.be/stations/NMBS/008812062,0736
S103857,1.0,1,http://irail.be/stations/NMBS/008812047,0740
S103857,1.0,1,http://irail.be/stations/NMBS/008815016,0744
S103857,1,1,http://irail.be/stations/NMBS/008812013,0746
S103857,1,1,http://irail.be/stations/NMBS/008815040,0749
S103857,1,1,http://irail.be/stations/NMBS/008814001,0757

L562,2,1,http://irail.be/stations/NMBS/008891009,1235
L562,2,1,http://irail.be/stations/NMBS/008891116,1241
L562,2,1,http://irail.be/stations/NMBS/008891124,1245
L562,2,1,http://irail.be/stations/NMBS/008891132,1249
L562,2,1,http://irail.be/stations/NMBS/008891140,1253
L562,2,1,http://irail.be/stations/NMBS/008891157,1256
L562,2,1,http://irail.be/stations/NMBS/008891165,1259
L562,2,1,http://irail.be/stations/NMBS/008892056,1304
L562,2,1,http://irail.be/stations/NMBS/008892031,1308

IC2228,1,1,http://irail.be/stations/NMBS/008831005,0611
IC2228,1.0,1,http://irail.be/stations/NMBS/008831401,0627
IC2228,1.0,1,http://irail.be/stations/NMBS/008833209,0641
IC2228,1,1,http://irail.be/stations/NMBS/008812005,0707

IC1529,1,1,http://irail.be/stations/NMBS/008831005,0629
IC1529,1,1,http://irail.be/stations/NMBS/008831039,0636
IC1529,1,1,http://irail.be/stations/NMBS/008831807,0645
IC1529,1,1,http://irail.be/stations/NMBS/008833605,0654
IC1529,1,1,http://irail.be/stations/NMBS/008833308,0706
IC1529,1.5,1,http://irail.be/stations/NMBS/008833001,0719
IC1529,1,1,http://irail.be/stations/NMBS/008812005,0739

P7305,1,1,http://irail.be/stations/NMBS/008831005,0654
P7305,1,1,http://irail.be/stations/NMBS/008831401,0709
P7305,1,1,http://irail.be/stations/NMBS/008833209,0724
P7305,1,1,http://irail.be/stations/NMBS/008812005,0753

IC1907,1,1,http://irail.be/stations/NMBS/008883311,0826
IC1907,1,1,http://irail.be/stations/NMBS/008814308,0837

P7515,1,1,http://irail.be/stations/NMBS/008883311,0809

IC3206,1,1,http://irail.be/stations/NMBS/008883311,0752
IC3206,1,1,http://irail.be/stations/NMBS/008814308,0802

S61556,1,1,http://irail.be/stations/NMBS/008883311,0746
S61556,1,1,http://irail.be/stations/NMBS/008814308,0758

P7012,2,1,http://irail.be/stations/NMBS/008895802,0748
P7012,2,1,http://irail.be/stations/NMBS/008895836,0752

IC2214,1,1,http://irail.be/stations/NMBS/008812005,1555
IC2214,1,1,http://irail.be/stations/NMBS/008833209,1621

P7400,2,1,http://irail.be/stations/NMBS/008833001,0725

IC529,2,1,http://irail.be/stations/NMBS/008833001,0734

IC3415,1,1,http://irail.be/stations/NMBS/008812005,1644
IC3415,1,1,http://irail.be/stations/NMBS/008811189,1654
IC3415,1,1,http://irail.be/stations/NMBS/008822004,1704

S11757,2,1,http://irail.be/stations/NMBS/008814258,0738
S11757,2,1,http://irail.be/stations/NMBS/008814266,0743
S11757,2,1,http://irail.be/stations/NMBS/008814167,0748
S11757,2,1,http://irail.be/stations/NMBS/008814142,0753
S11757,2,1,http://irail.be/stations/NMBS/008814134,0756
S11757,2,1,http://irail.be/stations/NMBS/008814001,0803
S11757,2,1,http://irail.be/stations/NMBS/008813037,0805

IC3640,2,1,http://irail.be/stations/NMBS/008813003,1742
IC3640,2,1,http://irail.be/stations/NMBS/008814001,1748
IC3640,2,1,http://irail.be/stations/NMBS/008895836,1802
IC3640,2,1,http://irail.be/stations/NMBS/008895802,1810
IC3640,2,1,http://irail.be/stations/NMBS/008895091,1815

IC3639,2,1,http://irail.be/stations/NMBS/008813003,1642
IC3639,2,1,http://irail.be/stations/NMBS/008814001,1648
IC3639,2,1,http://irail.be/stations/NMBS/008895836,1702
IC3639,2,1,http://irail.be/stations/NMBS/008895802,1710
IC3639,2,1,http://irail.be/stations/NMBS/008895091,1715

L2778,1,1,http://irail.be/stations/NMBS/008822715,0802
L2778,1,1,http://irail.be/stations/NMBS/008822608,0808

L2766,1,1,http://irail.be/stations/NMBS/008822004,1641
L2766,1,1,http://irail.be/stations/NMBS/008822608,1654

IC1531,0,1,http://irail.be/stations/NMBS/008831039,0836
IC1531,0,1,http://irail.be/stations/NMBS/008831807,0845
IC1531,0,1,http://irail.be/stations/NMBS/008833605,0854
IC1531,0,1,http://irail.be/stations/NMBS/008833308,0906

P8386,1,1,http://irail.be/stations/NMBS/008822004,1622
P8386,1,1,http://irail.be/stations/NMBS/008822608,1635

IC1515,1,1,http://irail.be/stations/NMBS/008833001,1743
IC1515,1,1,http://irail.be/stations/NMBS/008833308,1755
IC1515,1,1,http://irail.be/stations/NMBS/008833605,1807
IC1515,1,1,http://irail.be/stations/NMBS/008831807,1816

L2667,2,1,http://irail.be/stations/NMBS/008821006,1718
L2667,2,1,http://irail.be/stations/NMBS/008821121,1724
L2667,2,1,http://irail.be/stations/NMBS/008821196,1729
L2667,2,1,http://irail.be/stations/NMBS/008894821,1734
L2667,2,1,http://irail.be/stations/NMBS/008894755,1738
L2667,2,1,http://irail.be/stations/NMBS/008894748,1741
L2667,2,1,http://irail.be/stations/NMBS/008894714,1746

IC4316,1,1,http://irail.be/stations/NMBS/008821600,1627
IC4316,1,1,http://irail.be/stations/NMBS/008821717,1643
IC4316,1,1,http://irail.be/stations/NMBS/008832458,1649
IC4316,1,1,http://irail.be/stations/NMBS/008832433,1655
IC4316,1,1,http://irail.be/stations/NMBS/008832409,1710

L2677,2,1,http://irail.be/stations/NMBS/008894755,0722
L2677,2,1,http://irail.be/stations/NMBS/008894821,0725
L2677,2,1,http://irail.be/stations/NMBS/008821196,0731

IC2330,1,1,http://irail.be/stations/NMBS/008892205,0935
IC2330,1,1,http://irail.be/stations/NMBS/008891314,0940
IC2330,1,1,http://irail.be/stations/NMBS/008891264,0947

S32265,2,1,http://irail.be/stations/NMBS/008812005,1647
S32265,2,1,http://irail.be/stations/NMBS/008812021,1652
S32265,2,1,http://irail.be/stations/NMBS/008812047,1655
S32265,2,1,http://irail.be/stations/NMBS/008812062,1659
S32265,2,1,http://irail.be/stations/NMBS/008812070,1704
S32265,2,1,http://irail.be/stations/NMBS/008812112,1707
S32265,2,1,http://irail.be/stations/NMBS/008812120,1710
S32265,2,1,http://irail.be/stations/NMBS/008812146,1714
S32265,2,1,http://irail.be/stations/NMBS/008812153,1717
S32265,2,1,http://irail.be/stations/NMBS/008812161,1720
S32265,2,1,http://irail.be/stations/NMBS/008893443,1723

S32256,1,1,http://irail.be/stations/NMBS/008895448,0700
S32256,1,1,http://irail.be/stations/NMBS/008895455,0703
S32256,1,1,http://irail.be/stations/NMBS/008895877,0707
S32256,1,1,http://irail.be/stations/NMBS/008895869,0710
S32256,1,1,http://irail.be/stations/NMBS/008895851,0713
S32256,1,1,http://irail.be/stations/NMBS/008895802,0718
S32256,1,1,http://irail.be/stations/NMBS/008814001,0737

S32288,1,1,http://irail.be/stations/NMBS/008813003,1719
S32288,1,1,http://irail.be/stations/NMBS/008814001,1725
S32288,1,1,http://irail.be/stations/NMBS/008895802,1744
S32288,1,1,http://irail.be/stations/NMBS/008895851,1747
S32288,1,1,http://irail.be/stations/NMBS/008895869,1750
S32288,1,1,http://irail.be/stations/NMBS/008895877,1753
S32288,1,1,http://irail.be/stations/NMBS/008895455,1758

L2779,0,1,http://irail.be/stations/NMBS/008822608,0907

IC1739,1,1,http://irail.be/stations/NMBS/008812005,1813
IC1739,1,1,http://irail.be/stations/NMBS/008813003,1817
IC1739,1,1,http://irail.be/stations/NMBS/008814001,1824
IC1739,1,1,http://irail.be/stations/NMBS/008814308,1834
IC1739,1,1,http://irail.be/stations/NMBS/008883006,1847

IC3739,1,1,http://irail.be/stations/NMBS/008812005,1843
IC3739,1,1,http://irail.be/stations/NMBS/008813003,1847
IC3739,1,1,http://irail.be/stations/NMBS/008814001,1853
IC3739,1,1,http://irail.be/stations/NMBS/008883006,1916

IC1740,1,1,http://irail.be/stations/NMBS/008812005,1913
IC1740,1,1,http://irail.be/stations/NMBS/008813003,1917
IC1740,1,1,http://irail.be/stations/NMBS/008814001,1924
IC1740,1,1,http://irail.be/stations/NMBS/008814308,1934
IC1740,1,1,http://irail.be/stations/NMBS/008883006,1947

L2878,1,1,http://irail.be/stations/NMBS/008821600,0743
L2878,1,1,http://irail.be/stations/NMBS/008821634,0749
L2878,1,1,http://irail.be/stations/NMBS/008821147,0754
L2878,1,1,http://irail.be/stations/NMBS/008821121,0759

IC3328,1,1,http://irail.be/stations/NMBS/008821071,0727
IC3328,1,1,http://irail.be/stations/NMBS/008821006,0739
IC3328,1,1,http://irail.be/stations/NMBS/008821121,0744
IC3328,1,1,http://irail.be/stations/NMBS/008821238,0748
IC3328,1,1,http://irail.be/stations/NMBS/008822343,0758

IC4529,1,1,http://irail.be/stations/NMBS/008821006,0754
IC4529,1,1,http://irail.be/stations/NMBS/008821121,0800

IC4529,2,1,http://irail.be/stations/NMBS/008822004,0815
IC4529,2,1,http://irail.be/stations/NMBS/008812005,0832

IC4515,2,1,http://irail.be/stations/NMBS/008812005,1630

IC1506,1,1,http://irail.be/stations/NMBS/008892007,0740
IC1506,1,1,http://irail.be/stations/NMBS/008814001,0811
IC1506,1,1,http://irail.be/stations/NMBS/008813003,0815

S83978,2,1,http://irail.be/stations/NMBS/008811676,0740
S83978,2,1,http://irail.be/stations/NMBS/008811601,0750
S83978,2,1,http://irail.be/stations/NMBS/008811536,0754
S83978,2,1,http://irail.be/stations/NMBS/008811528,0757
S83978,2,1,http://irail.be/stations/NMBS/008811510,0800
S83978,2,1,http://irail.be/stations/NMBS/008811445,0805
S83978,2,1,http://irail.be/stations/NMBS/008811437,0809
S83978,2,1,http://irail.be/stations/NMBS/008811411,0814
S83978,2,1,http://irail.be/stations/NMBS/008811304,0819
S83978,2,1,http://irail.be/stations/NMBS/008811916,0822

IC3606,0,1,http://irail.be/stations/NMBS/008892254,0742
IC3606,0,1,http://irail.be/stations/NMBS/008892106,0753
IC3606,0,1,http://irail.be/stations/NMBS/008892080,0800

P8305,2,1,http://irail.be/stations/NMBS/008812005,1611
P8305,2,1,http://irail.be/stations/NMBS/008833209,1639
P8305,2,1,http://irail.be/stations/NMBS/008831401,1652

S11757,0,1,http://irail.be/stations/NMBS/008821311,0907
S11757,0,1,http://irail.be/stations/NMBS/008821337,0910
S11757,0,1,http://irail.be/stations/NMBS/008821246,0913
S11757,0,1,http://irail.be/stations/NMBS/008821147,0917

IC2809,0,1,http://irail.be/stations/NMBS/008892007,1009
IC2809,0,1,http://irail.be/stations/NMBS/008814001,1040
IC2809,0,1,http://irail.be/stations/NMBS/008813003,1044

IC3129,2,1,http://irail.be/stations/NMBS/008821006,0809
IC3129,2,1,http://irail.be/stations/NMBS/008821121,0814
IC3129,2,1,http://irail.be/stations/NMBS/008821238,0818
IC3129,2,1,http://irail.be/stations/NMBS/008822343,0828
IC3129,2,1,http://irail.be/stations/NMBS/008822004,0834
IC3129,2,1,http://irail.be/stations/NMBS/008811189,0845
IC3129,2,1,http://irail.be/stations/NMBS/008812005,0857
IC3129,2,1,http://irail.be/stations/NMBS/008813003,0901

IC1529,2,1,http://irail.be/stations/NMBS/008833001,0719
IC1529,2,1,http://irail.be/stations/NMBS/008812005,0739

IC415,1,1,http://irail.be/stations/NMBS/008813003,1631

IC415,2,1,http://irail.be/stations/NMBS/008812005,1638

IC1506,1,1,http://irail.be/stations/NMBS/008892007,0740

IC522,1,1,http://irail.be/stations/NMBS/008813003,0025
IC522,1,1,http://irail.be/stations/NMBS/008812005,0032

S102079,1,1,http://irail.be/stations/NMBS/008812211,0843
S102079,1,1,http://irail.be/stations/NMBS/008812047,0847
S102079,1,1,http://irail.be/stations/NMBS/008812021,0849

P8305,1,1,http://irail.be/stations/NMBS/008812005,1611
P8305,1,1,http://irail.be/stations/NMBS/008833209,1639

IC707,1,1,http://irail.be/stations/NMBS/008894201,0810
IC707,1,1,http://irail.be/stations/NMBS/008894151,0816
IC707,1,1,http://irail.be/stations/NMBS/008893120,0827

IC1829,1,1,http://irail.be/stations/NMBS/008894201,0844
IC1829,1,1,http://irail.be/stations/NMBS/008893120,0859

P7009,0,1,http://irail.be/stations/NMBS/008896008,0741
P7009,0,1,http://irail.be/stations/NMBS/008896115,0747
P7009,0,1,http://irail.be/stations/NMBS/008896149,0754

IC2628,1,1,http://irail.be/stations/NMBS/008831112,0628
IC2628,1,1,http://irail.be/stations/NMBS/008831005,0638
IC2628,1,1,http://irail.be/stations/NMBS/008831401,0653
IC2628,1,1,http://irail.be/stations/NMBS/008833209,0707

P7008,1,1,http://irail.be/stations/NMBS/008896149,0654

IC716,1,1,http://irail.be/stations/NMBS/008892007,1736

IC530,2,1,http://irail.be/stations/NMBS/008833001,0834
IC530,2,1,http://irail.be/stations/NMBS/008812005,0856

IC1534,0,1,http://irail.be/stations/NMBS/008833001,1219
IC1534,0,1,http://irail.be/stations/NMBS/008812005,1240

IC2029,2,1,http://irail.be/stations/NMBS/008822004,0745
IC2029,2,1,http://irail.be/stations/NMBS/008812005,0802

IC1729,2,1,http://irail.be/stations/NMBS/008833001,0752
IC1729,2,1,http://irail.be/stations/NMBS/008812005,0814

P7303,2,1,http://irail.be/stations/NMBS/008833001,0759

IC2028,1,1,http://irail.be/stations/NMBS/008822004,0645
IC2028,1,1,http://irail.be/stations/NMBS/008812005,0702

IC407,2,1,http://irail.be/stations/NMBS/008892007,0755
IC407,2,1,http://irail.be/stations/NMBS/008814001,0827
IC407,2,1,http://irail.be/stations/NMBS/008813003,0831

IC2807,2,1,http://irail.be/stations/NMBS/008892007,0807
IC2807,2,1,http://irail.be/stations/NMBS/008814001,0840
IC2807,2,1,http://irail.be/stations/NMBS/008813003,0844

P7009,2,1,http://irail.be/stations/NMBS/008892007,0817
P7009,2,1,http://irail.be/stations/NMBS/008814001,0848
P7009,2,1,http://irail.be/stations/NMBS/008813003,0852

IC507,2,1,http://irail.be/stations/NMBS/008892007,0824
IC507,2,1,http://irail.be/stations/NMBS/008814001,0856
IC507,2,1,http://irail.be/stations/NMBS/008813003,0900

IC4507,0,1,http://irail.be/stations/NMBS/008813003,0823
IC4507,0,1,http://irail.be/stations/NMBS/008812005,0830
IC4507,0,1,http://irail.be/stations/NMBS/008822004,0848
IC4507,0,1,http://irail.be/stations/NMBS/008821121,0902

IC2906,0,1,http://irail.be/stations/NMBS/008821832,0659

P7305,1,1,http://irail.be/stations/NMBS/008833209,0724

